"","GENE_ID","logFC","AveExpr","t","P.Value","B"
"1","NC_000069.6",1.85019666873203,3.04251636791046,52.0352737353207,2.08141907030875e-14,5.970023521891e-10
"2","NC_000082.6",2.06119201718059,2.1133331427627,47.5608562175213,5.52038834970837e-14,5.970023521891e-10
"3","NC_000070.6",-1.20772131006952,2.6285228028783,-46.9510430754971,6.34954078413336e-14,5.970023521891e-10
"4","NC_000081.6",1.75876198218771,2.73931738284704,46.7085814345092,6.716192509721e-14,5.970023521891e-10
"5","NC_000075.6",1.40242668643327,2.98798757378383,45.1680662802995,9.66100403464856e-14,6.87013318911928e-10
"6","NC_000067.6",1.27599192065553,2.86397015520951,44.3770665776027,1.1699911064162e-13,6.93336729662242e-10
"7","NC_000079.6",1.47617605106058,2.6722069389852,43.5787048251969,1.42435465294591e-13,7.23490772002066e-10
"8","NC_000074.6",1.39470843028016,2.98169280216491,41.9472605998077,2.1534157441722e-13,9.57085627497335e-10
"9","NC_000073.6",-1.40229463484017,2.56629692721959,-41.2973008686907,2.55019969233523e-13,1.00749889178524e-09
"10","NC_000081.6",1.58527344037977,3.05974567884058,38.17550573027,5.97108783736544e-13,2.12307999145366e-09
"11","NC_000073.6",1.83276332498237,2.8484885457145,37.0851512992357,8.16896348363665e-13,2.64050605112895e-09
"12","NC_000070.6",-1.43315090506234,2.45970070774982,-35.2927804915443,1.39548390312375e-12,4.13481880495566e-09
"13","NC_000068.7",-1.85271835094542,2.4949795948992,-34.1392714172277,1.99812020256635e-12,5.46501245557302e-09
"14","NC_000079.6",1.08738212610607,2.77126251179538,33.7107965326374,2.29009046230392e-12,5.8161754626913e-09
"15","NC_000069.6",-1.32511649699757,2.50058912018263,-32.8746610950046,3.00329501521103e-12,6.24949910457567e-09
"16","NC_000074.6",1.00434725866804,2.85803043574102,32.8613235283321,3.01647642423813e-12,6.24949910457567e-09
"17","NC_000074.6",1.42952908828896,3.03735472859374,32.6512051206932,3.23268417128289e-12,6.24949910457567e-09
"18","NC_000069.6",0.96744285307209,2.64772831505832,32.6336035143025,3.25154892924081e-12,6.24949910457567e-09
"19","NC_000085.6",0.935541686763303,3.04708814010877,32.5411172340467,3.35266627331106e-12,6.24949910457567e-09
"20","NC_000068.7",1.21365581953142,2.71416338075053,32.3985693163977,3.5152993050825e-12,6.24949910457567e-09
"21","NC_000081.6",1.71849556542748,2.95528996762788,31.8445646084657,4.23415007602078e-12,6.82634636807337e-09
"22","NC_000074.6",0.89841002247868,2.58579582894882,31.7107694119436,4.43085422533472e-12,6.82634636807337e-09
"23","NC_000076.6",1.26392252179918,2.95313006559224,31.5823234557409,4.62910568048367e-12,6.82634636807337e-09
"24","NC_000067.6",1.24568420655549,2.49015694742819,31.5375277386453,4.70050543803147e-12,6.82634636807337e-09
